Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
ZCTA5 00715,,,,
    Estimate,-,"74,300",-,"111,000"
    Margin of Error,**,"±46,190",**,"±54,708"
ZCTA5 00716,,,,
    Estimate,"108,400","121,200","119,100","113,900"
    Margin of Error,"±52,766","±15,208","±17,734","±15,659"
ZCTA5 00717,,,,
    Estimate,"85,000","97,200","129,300","101,700"
    Margin of Error,"±51,725","±24,099","±10,002","±12,273"
ZCTA5 00718,,,,
    Estimate,-,"83,500","87,500","91,800"
    Margin of Error,**,"±6,879","±11,003","±6,160"
ZCTA5 00719,,,,
    Estimate,-,"95,200","82,100","99,700"
    Margin of Error,**,"±52,282","±28,229","±27,642"
ZCTA5 00720,,,,
    Estimate,-,"183,000","81,300","88,800"
    Margin of Error,**,"±95,816","±10,905","±17,068"
ZCTA5 00723,,,,
    Estimate,-,"84,000","92,700","94,600"
    Margin of Error,**,"±22,243","±18,722","±6,167"
ZCTA5 00725,,,,
    Estimate,"139,400","113,500","122,100","133,700"
    Margin of Error,"±37,694","±11,756","±17,934","±8,279"
ZCTA5 00727,,,,
    Estimate,"195,800","124,800","144,600","153,500"
    Margin of Error,"±35,167","±20,069","±8,873","±11,537"
ZCTA5 00728,,,,
    Estimate,"66,100","100,500","97,600","102,600"
    Margin of Error,"±15,006","±7,617","±14,399","±5,531"
ZCTA5 00729,,,,
    Estimate,"96,100","107,700","131,800","119,400"
    Margin of Error,"±16,918","±19,101","±13,778","±9,009"
ZCTA5 00730,,,,
    Estimate,"90,600","93,700","102,100","90,300"
    Margin of Error,"±55,056","±20,953","±15,240","±5,586"
ZCTA5 00731,,,,
    Estimate,-,"85,300","121,700","72,900"
    Margin of Error,**,"±18,218","±76,904","±8,362"
ZCTA5 00735,,,,
    Estimate,"91,900","87,200","88,100","89,400"
    Margin of Error,"±32,772","±21,947","±36,534","±7,934"
ZCTA5 00736,,,,
    Estimate,-,"148,600","117,500","148,900"
    Margin of Error,**,"±18,056","±12,997","±15,063"
ZCTA5 00738,,,,
    Estimate,"88,300","112,800","107,100","108,000"
    Margin of Error,"±23,863","±16,840","±11,197","±5,734"
ZCTA5 00739,,,,
    Estimate,"134,800","133,400","145,100","129,100"
    Margin of Error,"±23,965","±8,996","±9,045","±9,357"
ZCTA5 00740,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00741,,,,
    Estimate,-,"76,100",-,"88,400"
    Margin of Error,**,"±15,307",**,"±19,963"
ZCTA5 00745,,,,
    Estimate,"180,700","109,700","121,200","122,400"
    Margin of Error,"±55,452","±13,704","±8,850","±7,513"
ZCTA5 00751,,,,
    Estimate,-,"83,700","91,200","87,400"
    Margin of Error,**,"±8,367","±19,207","±8,475"
ZCTA5 00754,,,,
    Estimate,-,"128,800","137,400","118,600"
    Margin of Error,**,"±21,104","±21,012","±6,035"
ZCTA5 00757,,,,
    Estimate,-,"94,000","102,800","101,500"
    Margin of Error,**,"±28,293","±15,111","±9,005"
ZCTA5 00765,,,,
    Estimate,-,"82,900","174,700",-
    Margin of Error,**,"±32,436","±112,498",**
ZCTA5 00766,,,,
    Estimate,-,"84,400","99,800","92,100"
    Margin of Error,**,"±78,434","±45,321","±6,450"
ZCTA5 00767,,,,
    Estimate,-,"94,000","88,900","95,200"
    Margin of Error,**,"±6,496","±9,003","±7,058"
ZCTA5 00769,,,,
    Estimate,"82,100","88,200","110,500","105,600"
    Margin of Error,"±18,836","±20,688","±9,858","±8,078"
ZCTA5 00771,,,,
    Estimate,-,"118,300","131,900","128,300"
    Margin of Error,**,"±52,603","±22,596","±5,824"
ZCTA5 00772,,,,
    Estimate,"84,600","99,200","104,400","85,800"
    Margin of Error,"±29,426","±35,191","±15,432","±3,359"
ZCTA5 00773,,,,
    Estimate,-,"111,600","129,000","113,200"
    Margin of Error,**,"±14,889","±21,459","±6,108"
ZCTA5 00775,,,,
    Estimate,-,"323,100",-,"296,400"
    Margin of Error,**,"±167,774",**,"±238,680"
ZCTA5 00777,,,,
    Estimate,-,"101,100","107,500","111,800"
    Margin of Error,**,"±15,081","±8,500","±6,748"
ZCTA5 00778,,,,
    Estimate,"176,700","173,500","145,200","171,000"
    Margin of Error,"±63,732","±40,808","±22,324","±23,839"
ZCTA5 00780,,,,
    Estimate,-,"163,600","102,000","112,000"
    Margin of Error,**,"±99,386","±54,628","±11,436"
ZCTA5 00782,,,,
    Estimate,-,"82,500","118,200","95,800"
    Margin of Error,**,"±26,604","±30,751","±22,245"
ZCTA5 00783,,,,
    Estimate,-,"113,000","92,000","100,000"
    Margin of Error,**,"±37,463","±17,604","±7,193"
ZCTA5 00784,,,,
    Estimate,-,"70,300","103,700","101,600"
    Margin of Error,**,"±15,748","±29,017","±12,911"
ZCTA5 00786,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 00791,,,,
    Estimate,-,"117,300","114,200","104,800"
