Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
ZCTA5 30309,,,,
    Estimate,"273,500","338,400","462,300","321,100"
    Margin of Error,"±58,409","±28,647","±79,632","±33,669"
ZCTA5 30310,,,,
    Estimate,"231,300","302,300","205,800","196,300"
    Margin of Error,"±26,543","±40,413","±48,190","±19,917"
ZCTA5 30311,,,,
    Estimate,"220,100","202,400","158,000","163,800"
    Margin of Error,"±41,084","±44,803","±44,469","±12,482"
ZCTA5 30312,,,,
    Estimate,"599,600","380,000","306,000","274,800"
    Margin of Error,"±556,326","±45,247","±45,841","±33,463"
ZCTA5 30313,,,,
    Estimate,"277,400","205,700","230,200","246,700"
    Margin of Error,"±19,469","±35,749","±70,956","±97,702"
ZCTA5 30314,,,,
    Estimate,"297,500","142,500","133,600","167,500"
    Margin of Error,"±110,925","±18,389","±45,368","±15,652"
ZCTA5 30315,,,,
    Estimate,"547,800","263,300","201,800","219,100"
    Margin of Error,"±487,252","±85,236","±31,616","±41,207"
ZCTA5 30316,,,,
    Estimate,"429,900","354,100","361,800","249,700"
    Margin of Error,"±32,489","±28,470","±22,082","±34,759"
ZCTA5 30317,,,,
    Estimate,"608,900","422,700","351,500","387,100"
    Margin of Error,"±33,577","±26,063","±118,445","±54,077"
ZCTA5 30318,,,,
    Estimate,"387,200","374,000","357,700","256,600"
    Margin of Error,"±141,500","±26,416","±74,845","±41,606"
ZCTA5 30319,,,,
    Estimate,"682,000","571,600","593,200","601,900"
    Margin of Error,"±150,930","±40,692","±72,375","±59,159"
ZCTA5 30322,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30324,,,,
    Estimate,"734,400","288,700","476,700","400,300"
    Margin of Error,"±555,345","±127,356","±142,062","±69,829"
ZCTA5 30326,,,,
    Estimate,-,"386,100","457,600","612,900"
    Margin of Error,**,"±139,727","±29,331","±469,611"
ZCTA5 30327,,,,
    Estimate,"810,600","800,000","954,400","789,200"
    Margin of Error,"±175,092","±139,630","±106,479","±164,651"
ZCTA5 30328,,,,
    Estimate,"641,500","366,300","437,600","436,900"
    Margin of Error,"±65,568","±43,319","±38,199","±23,816"
ZCTA5 30329,,,,
    Estimate,"262,500","359,300","354,900","314,500"
    Margin of Error,"±249,441","±23,993","±42,963","±58,536"
ZCTA5 30331,,,,
    Estimate,"339,900","190,700","147,800","218,000"
    Margin of Error,"±40,826","±39,989","±24,621","±19,124"
ZCTA5 30332,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30334,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30336,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30337,,,,
    Estimate,-,"281,800","224,200","225,000"
    Margin of Error,**,"±26,533","±76,383","±23,674"
ZCTA5 30338,,,,
    Estimate,"413,900","497,900","420,200","499,000"
    Margin of Error,"±132,160","±57,038","±41,344","±35,005"
ZCTA5 30339,,,,
    Estimate,"470,000","328,700","323,900","385,200"
    Margin of Error,"±180,004","±66,395","±37,959","±66,590"
ZCTA5 30340,,,,
    Estimate,"310,100","286,800","254,000","214,200"
    Margin of Error,"±141,948","±33,043","±54,940","±23,428"
ZCTA5 30341,,,,
    Estimate,"451,200","371,800","355,200","319,800"
    Margin of Error,"±131,781","±41,822","±42,926","±32,799"
ZCTA5 30342,,,,
    Estimate,"437,000","706,300","680,500","698,000"
    Margin of Error,"±57,445","±84,651","±175,795","±90,711"
ZCTA5 30344,,,,
    Estimate,"219,000","220,200","91,300","159,600"
    Margin of Error,"±15,814","±35,260","±33,264","±15,174"
ZCTA5 30345,,,,
    Estimate,"219,100","468,300","387,400","450,000"
    Margin of Error,"±54,498","±39,405","±42,936","±36,628"
ZCTA5 30346,,,,
    Estimate,-,-,-,"453,500"
    Margin of Error,**,**,**,"±34,721"
ZCTA5 30349,,,,
    Estimate,"212,500","165,600","168,400","163,700"
    Margin of Error,"±101,157","±14,413","±52,323","±6,200"
ZCTA5 30350,,,,
    Estimate,"272,700","432,800","429,600","361,000"
    Margin of Error,"±14,569","±296,568","±242,768","±225,994"
ZCTA5 30354,,,,
    Estimate,-,"182,700","156,000","203,100"
    Margin of Error,**,"±42,195","±52,842","±67,463"
ZCTA5 30360,,,,
    Estimate,"319,600","303,300","297,800","300,000"
    Margin of Error,"±142,492","±81,601","±30,091","±34,353"
ZCTA5 30363,,,,
    Estimate,-,"252,600","264,300","253,300"
    Margin of Error,**,"±118,274","±145,656","±82,345"
ZCTA5 30401,,,,
    Estimate,-,"72,300","120,500","61,700"
    Margin of Error,**,"±5,563","±21,483","±11,725"
ZCTA5 30410,,,,
    Estimate,-,"256,300","90,700","124,300"
    Margin of Error,**,"±223,547","±9,907","±69,707"
ZCTA5 30411,,,,
    Estimate,-,"158,000","43,600",-
    Margin of Error,**,"±28,543","±25,532",**
ZCTA5 30412,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30413,,,,
    Estimate,-,-,-,"122,400"
    Margin of Error,**,**,**,"±73,289"
ZCTA5 30415,,,,
    Estimate,-,"167,300","122,300","197,100"
    Margin of Error,**,"±74,816","±114,562","±41,581"
ZCTA5 30417,,,,
    Estimate,-,"93,700","81,700","111,100"
    Margin of Error,**,"±7,036","±73,111","±47,269"
ZCTA5 30420,,,,
    Estimate,-,-,"135,800","114,300"
    Margin of Error,**,**,"±23,563","±57,774"
ZCTA5 30421,,,,
    Estimate,-,"86,900","88,000","83,200"
    Margin of Error,**,"±40,147","±43,688","±11,855"
ZCTA5 30423,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30425,,,,
    Estimate,-,-,"84,300",-
    Margin of Error,**,**,"±4,228",**
ZCTA5 30426,,,,
    Estimate,-,-,-,"216,200"
    Margin of Error,**,**,**,"±96,489"
ZCTA5 30427,,,,
    Estimate,-,"141,100","91,100","113,000"
    Margin of Error,**,"±62,668","±16,967","±58,584"
ZCTA5 30428,,,,
    Estimate,-,"50,900",-,-
    Margin of Error,**,"±30,940",**,**
ZCTA5 30429,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30434,,,,
    Estimate,-,"110,900","77,200","63,600"
    Margin of Error,**,"±88,815","±11,010","±20,275"
ZCTA5 30436,,,,
    Estimate,-,"66,000","35,000","90,700"
    Margin of Error,**,"±14,912","±24,480","±23,472"
ZCTA5 30438,,,,
    Estimate,-,-,-,"273,700"
    Margin of Error,**,**,**,"±5,490"
ZCTA5 30439,,,,
    Estimate,"175,000",-,-,"87,700"
    Margin of Error,"±96,165",**,**,"±13,067"
ZCTA5 30441,,,,
    Estimate,"44,600","116,700","72,500",-
    Margin of Error,"±22,993","±15,702","±56,798",**
ZCTA5 30442,,,,
    Estimate,-,"10,000-",-,"54,600"
    Margin of Error,**,***,**,"±11,124"
ZCTA5 30445,,,,
    Estimate,-,"170,800","72,900","71,900"
    Margin of Error,**,"±150,036","±27,948","±15,729"
ZCTA5 30446,,,,
    Estimate,-,"112,500","68,400","164,300"
    Margin of Error,**,"±9,097","±6,569","±63,298"
ZCTA5 30448,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30449,,,,
    Estimate,-,-,-,"76,000"
    Margin of Error,**,**,**,"±30,430"
ZCTA5 30450,,,,
    Estimate,-,-,"65,500","166,700"
    Margin of Error,**,**,"±20,384","±107,792"
ZCTA5 30451,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30452,,,,
    Estimate,-,-,-,"90,700"
    Margin of Error,**,**,**,"±37,930"
ZCTA5 30453,,,,
    Estimate,-,"107,600","91,600","63,800"
    Margin of Error,**,"±29,889","±89,529","±26,116"
ZCTA5 30454,,,,
    Estimate,-,-,-,"65,900"
    Margin of Error,**,**,**,"±40,819"
ZCTA5 30455,,,,
    Estimate,-,-,"93,100",-
    Margin of Error,**,**,"±63,199",**
ZCTA5 30456,,,,
    Estimate,-,-,"87,500",-
    Margin of Error,**,**,"±63,406",**
ZCTA5 30457,,,,
    Estimate,-,-,"36,300","93,300"
    Margin of Error,**,**,"±32,664","±24,681"
ZCTA5 30458,,,,
    Estimate,"271,000","151,400","159,200","153,000"
    Margin of Error,"±99,177","±20,245","±46,191","±17,155"
ZCTA5 30460,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30461,,,,
    Estimate,-,"194,200","144,600","189,300"
    Margin of Error,**,"±44,061","±17,691","±39,067"
ZCTA5 30464,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30467,,,,
    Estimate,-,"47,300","151,000","101,900"
    Margin of Error,**,"±19,825","±43,745","±27,000"
ZCTA5 30470,,,,
    Estimate,-,-,-,"272,500"
    Margin of Error,**,**,**,"±105,937"
ZCTA5 30471,,,,
    Estimate,-,"59,600","93,700","83,400"
    Margin of Error,**,"±26,247","±3,084","±36,703"
ZCTA5 30473,,,,
    Estimate,"75,600","115,700","32,500","77,000"
    Margin of Error,"±3,109","±79,305","±13,224","±24,590"
ZCTA5 30474,,,,
    Estimate,"34,400","135,700","136,900","108,600"
    Margin of Error,"±31,822","±50,133","±11,277","±16,772"
ZCTA5 30475,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30477,,,,
    Estimate,"73,200",-,"77,900","44,300"
    Margin of Error,"±10,237",**,"±26,554","±33,031"
ZCTA5 30501,,,,
    Estimate,-,"231,000","131,000","172,200"
    Margin of Error,**,"±109,800","±40,507","±47,205"
ZCTA5 30504,,,,
    Estimate,"301,600","303,300","236,400","162,300"
    Margin of Error,"±157,186","±37,318","±23,426","±15,330"
ZCTA5 30506,,,,
    Estimate,"282,800","299,800","216,400","259,700"
    Margin of Error,"±238,540","±50,491","±27,778","±22,506"
ZCTA5 30507,,,,
    Estimate,"194,600","194,200","186,900","151,000"
    Margin of Error,"±41,525","±15,991","±9,845","±14,643"
ZCTA5 30510,,,,
    Estimate,"136,600","118,400","109,000","139,300"
    Margin of Error,"±52,220","±32,802","±70,183","±18,792"
ZCTA5 30511,,,,
    Estimate,-,"153,100","119,500","122,700"
    Margin of Error,**,"±108,792","±27,525","±62,790"
ZCTA5 30512,,,,
    Estimate,"244,600","212,700","187,300","198,600"
    Margin of Error,"±26,064","±43,681","±28,636","±24,348"
ZCTA5 30513,,,,
    Estimate,"229,500","296,700","198,800","192,200"
    Margin of Error,"±36,164","±81,331","±138,176","±39,905"
ZCTA5 30516,,,,
    Estimate,-,"68,800","65,500","169,000"
    Margin of Error,**,"±40,084","±33,058","±38,090"
ZCTA5 30517,,,,
    Estimate,"350,900","284,400","288,400","266,400"
    Margin of Error,"±14,997","±18,079","±60,592","±23,483"
ZCTA5 30518,,,,
    Estimate,"211,600","258,900","257,800","275,400"
    Margin of Error,"±91,775","±22,209","±21,813","±15,975"
ZCTA5 30519,,,,
    Estimate,"353,200","291,200","259,900","234,800"
    Margin of Error,"±6,779","±20,015","±23,693","±14,811"
ZCTA5 30520,,,,
    Estimate,-,"97,100","83,700","151,300"
    Margin of Error,**,"±80,347","±73,460","±61,866"
ZCTA5 30521,,,,
    Estimate,-,"134,900","257,200","134,000"
    Margin of Error,**,"±18,556","±157,538","±10,572"
ZCTA5 30522,,,,
    Estimate,-,-,"281,300","245,800"
    Margin of Error,**,**,"±11,790","±66,127"
ZCTA5 30523,,,,
    Estimate,"141,600","253,600","236,600","208,300"
    Margin of Error,"±41,507","±146,791","±68,552","±38,393"
ZCTA5 30525,,,,
    Estimate,"307,100","245,000","252,600","296,800"
    Margin of Error,"±264,351","±41,033","±76,819","±94,979"
ZCTA5 30527,,,,
    Estimate,"341,700","233,500","306,100","241,500"
    Margin of Error,"±29,168","±49,660","±111,589","±51,771"
ZCTA5 30528,,,,
    Estimate,"217,200","159,800","170,300","170,600"
    Margin of Error,"±10,219","±53,360","±27,231","±14,630"
ZCTA5 30529,,,,
    Estimate,"192,000","163,600","101,000","181,600"
    Margin of Error,"±14,404","±24,971","±48,791","±32,427"
ZCTA5 30530,,,,
    Estimate,"262,500","215,800","181,300","123,900"
    Margin of Error,"±109,730","±79,025","±60,132","±42,176"
ZCTA5 30531,,,,
    Estimate,-,"161,500","158,300","158,200"
    Margin of Error,**,"±11,258","±13,354","±7,869"
ZCTA5 30533,,,,
    Estimate,"323,700","221,000","212,600","214,200"
    Margin of Error,"±229,885","±38,877","±20,141","±33,944"
ZCTA5 30534,,,,
    Estimate,"268,100","272,700","234,600","244,200"
    Margin of Error,"±27,362","±34,120","±47,327","±32,528"
ZCTA5 30535,,,,
    Estimate,-,"187,900","180,600","156,900"
    Margin of Error,**,"±41,440","±19,256","±30,139"
ZCTA5 30536,,,,
    Estimate,"273,000","257,600","224,200","257,300"
    Margin of Error,"±25,580","±55,362","±69,725","±40,215"
ZCTA5 30537,,,,
    Estimate,"143,400","266,700","168,500","271,900"
    Margin of Error,"±54,515","±90,147","±18,796","±107,099"
ZCTA5 30538,,,,
    Estimate,-,-,-,"140,400"
    Margin of Error,**,**,**,"±61,077"
ZCTA5 30540,,,,
    Estimate,"270,600","209,400","235,600","191,300"
    Margin of Error,"±73,678","±41,094","±34,502","±22,094"
ZCTA5 30541,,,,
    Estimate,-,-,"270,700","128,700"
    Margin of Error,**,**,"±52,260","±56,939"
ZCTA5 30542,,,,
    Estimate,"368,000","296,500","244,900","227,900"
    Margin of Error,"±29,120","±34,344","±18,447","±12,229"
ZCTA5 30543,,,,
    Estimate,"310,000",-,"144,400","167,500"
    Margin of Error,"±263,640",**,"±29,994","±20,023"
ZCTA5 30545,,,,
    Estimate,"331,300","184,600",-,"260,000"
    Margin of Error,"±77,274","±67,977",**,"±47,095"
ZCTA5 30546,,,,
    Estimate,-,"231,900","229,000","301,200"
    Margin of Error,**,"±36,182","±32,708","±58,303"
ZCTA5 30547,,,,
    Estimate,-,"195,000","188,000","190,800"
    Margin of Error,**,"±95,350","±26,092","±53,585"
ZCTA5 30548,,,,
    Estimate,"349,200","341,000","333,200","290,300"
    Margin of Error,"±90,945","±17,279","±34,870","±22,985"
ZCTA5 30549,,,,
    Estimate,"230,200","240,400","231,700","208,400"
    Margin of Error,"±41,168","±19,663","±19,203","±22,607"
ZCTA5 30552,,,,
    Estimate,-,"175,000","296,000","212,000"
    Margin of Error,**,"±48,405","±120,627","±163,503"
ZCTA5 30553,,,,
    Estimate,-,"184,300","209,200","110,300"
    Margin of Error,**,"±52,511","±51,279","±29,263"
ZCTA5 30554,,,,
    Estimate,-,"138,100","117,700","171,700"
    Margin of Error,**,"±24,840","±30,656","±20,728"
ZCTA5 30555,,,,
    Estimate,-,"133,200","99,200","205,100"
    Margin of Error,**,"±24,086","±73,217","±131,685"
ZCTA5 30557,,,,
    Estimate,-,"207,500","97,400","107,700"
    Margin of Error,**,"±125,833","±62,868","±45,249"
ZCTA5 30558,,,,
    Estimate,-,"126,900","164,800","144,000"
    Margin of Error,**,"±32,375","±39,640","±41,642"
ZCTA5 30559,,,,
    Estimate,-,"356,400","236,000","138,400"
    Margin of Error,**,"±92,916","±28,130","±75,112"
ZCTA5 30560,,,,
    Estimate,-,"288,300","297,500","133,600"
    Margin of Error,**,"±162,541","±114,581","±50,269"
ZCTA5 30562,,,,
    Estimate,-,"118,800","118,800",-
    Margin of Error,**,"±111,048","±32,198",**
ZCTA5 30563,,,,
    Estimate,-,"168,300","152,600","156,300"
    Margin of Error,**,"±44,029","±23,452","±8,905"
ZCTA5 30564,,,,
    Estimate,-,"162,500","166,900","203,700"
    Margin of Error,**,"±39,669","±66,263","±77,921"
ZCTA5 30565,,,,
    Estimate,-,"222,700","213,100","128,500"
    Margin of Error,**,"±211,466","±30,382","±34,409"
ZCTA5 30566,,,,
    Estimate,"412,500","142,500","154,300","148,200"
    Margin of Error,"±269,409","±22,070","±11,901","±28,992"
ZCTA5 30567,,,,
    Estimate,"208,900","217,900","219,500","269,100"
    Margin of Error,"±73,221","±60,617","±47,572","±22,675"
ZCTA5 30568,,,,
    Estimate,-,"268,800",-,-
    Margin of Error,**,"±34,469",**,**
ZCTA5 30571,,,,
    Estimate,-,"225,000","186,600","230,700"
    Margin of Error,**,"±37,621","±15,003","±81,851"
ZCTA5 30572,,,,
    Estimate,-,"231,300","162,100","423,300"
    Margin of Error,**,"±211,678","±75,868","±239,805"
ZCTA5 30573,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30575,,,,
    Estimate,-,"213,500","268,800",-
    Margin of Error,**,"±83,191","±56,968",**
ZCTA5 30576,,,,
    Estimate,-,"147,700","189,300","174,800"
    Margin of Error,**,"±145,328","±71,561","±59,481"
ZCTA5 30577,,,,
    Estimate,-,"116,700","119,800","129,900"
    Margin of Error,**,"±21,625","±29,424","±15,061"
ZCTA5 30581,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30582,,,,
    Estimate,"428,800","183,700","242,200","261,900"
    Margin of Error,"±268,152","±17,583","±37,690","±45,417"
ZCTA5 30601,,,,
    Estimate,"108,900","164,800","154,200","71,900"
    Margin of Error,"±53,067","±34,716","±50,541","±17,918"
ZCTA5 30602,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30605,,,,
    Estimate,"238,600","174,400","173,800","174,600"
    Margin of Error,"±112,255","±16,465","±29,009","±9,689"
ZCTA5 30606,,,,
    Estimate,-,"258,600","246,100","236,000"
    Margin of Error,**,"±31,832","±35,405","±27,337"
ZCTA5 30607,,,,
    Estimate,"217,800","230,700","189,200","136,100"
    Margin of Error,"±55,194","±88,481","±35,652","±17,255"
ZCTA5 30609,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30619,,,,
    Estimate,-,"160,800","134,100","166,900"
    Margin of Error,**,"±9,495","±22,380","±17,665"
ZCTA5 30620,,,,
    Estimate,"232,800","196,900","181,600","172,100"
    Margin of Error,"±40,979","±10,794","±19,407","±9,817"
ZCTA5 30621,,,,
    Estimate,"437,200","425,400","329,200","346,600"
    Margin of Error,"±23,998","±39,831","±48,731","±72,069"
ZCTA5 30622,,,,
    Estimate,"409,200","248,900","296,700","291,300"
    Margin of Error,"±74,105","±55,527","±44,965","±49,296"
ZCTA5 30623,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30624,,,,
    Estimate,-,"76,700","13,400","69,800"
    Margin of Error,**,"±66,767","±12,804","±24,282"
ZCTA5 30625,,,,
    Estimate,-,"261,500","232,800","234,500"
    Margin of Error,**,"±64,373","±22,403","±10,826"
ZCTA5 30627,,,,
    Estimate,-,"127,400","204,600","162,100"
    Margin of Error,**,"±20,985","±72,274","±21,635"
ZCTA5 30628,,,,
    Estimate,-,"162,900","168,800","129,900"
    Margin of Error,**,"±37,244","±20,791","±42,030"
ZCTA5 30629,,,,
    Estimate,-,"153,500","115,900","131,100"
    Margin of Error,**,"±121,864","±81,393","±37,301"
ZCTA5 30630,,,,
    Estimate,"345,000","105,200","88,600","160,900"
    Margin of Error,"±13,746","±50,670","±44,609","±23,263"
ZCTA5 30631,,,,
    Estimate,-,-,"38,200","59,100"
    Margin of Error,**,**,"±15,228","±14,410"
ZCTA5 30633,,,,
    Estimate,-,"137,800",-,"108,100"
    Margin of Error,**,"±44,631",**,"±35,214"
ZCTA5 30634,,,,
    Estimate,-,"86,200",-,"328,300"
    Margin of Error,**,"±6,035",**,"±325,289"
ZCTA5 30635,,,,
    Estimate,-,"94,400","92,300","95,500"
    Margin of Error,**,"±8,082","±28,351","±29,264"
ZCTA5 30641,,,,
    Estimate,-,"225,000","143,000","193,400"
    Margin of Error,**,"±96,405","±60,243","±68,420"
ZCTA5 30642,,,,
    Estimate,"682,400","411,600","372,200","358,200"
    Margin of Error,"±176,929","±54,089","±117,393","±121,531"
ZCTA5 30643,,,,
    Estimate,"235,500","173,200","180,200","205,200"
    Margin of Error,"±106,097","±59,727","±74,791","±68,891"
ZCTA5 30646,,,,
    Estimate,-,"166,700",-,"163,300"
    Margin of Error,**,"±129,114",**,"±7,569"
ZCTA5 30648,,,,
    Estimate,-,"200,700","120,000","155,900"
    Margin of Error,**,"±96,746","±26,235","±33,306"
ZCTA5 30650,,,,
    Estimate,"463,300","266,700","274,300","234,500"
    Margin of Error,"±47,623","±111,979","±93,505","±32,250"
ZCTA5 30655,,,,
    Estimate,"250,900","211,000","161,500","201,900"
    Margin of Error,"±160,831","±25,815","±35,693","±17,470"
ZCTA5 30656,,,,
    Estimate,"335,000","236,500","223,100","237,600"
    Margin of Error,"±32,077","±43,283","±34,082","±17,215"
ZCTA5 30660,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30662,,,,
    Estimate,"110,700","122,400","130,900","120,800"
    Margin of Error,"±14,142","±78,308","±29,651","±30,174"
ZCTA5 30663,,,,
    Estimate,-,"233,300","347,100","165,700"
    Margin of Error,**,"±103,085","±142,783","±18,592"
ZCTA5 30664,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30665,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30666,,,,
    Estimate,"189,900","196,900","157,200","160,000"
    Margin of Error,"±8,794","±67,529","±12,769","±18,290"
ZCTA5 30667,,,,
    Estimate,-,"104,200","152,100","142,000"
    Margin of Error,**,"±80,181","±112,225","±18,722"
ZCTA5 30668,,,,
    Estimate,-,"111,000","57,200","112,500"
    Margin of Error,**,"±37,338","±22,474","±79,574"
ZCTA5 30669,,,,
    Estimate,"105,000","104,700",-,"90,500"
    Margin of Error,"±28,148","±47,289",**,"±11,647"
ZCTA5 30673,,,,
    Estimate,-,"91,000","81,600","79,100"
    Margin of Error,**,"±46,351","±37,528","±36,532"
ZCTA5 30677,,,,
    Estimate,"570,500","319,200","266,400","286,900"
    Margin of Error,"±83,259","±39,576","±33,177","±14,115"
ZCTA5 30678,,,,
    Estimate,-,"347,900","544,600",-
    Margin of Error,**,"±14,242","±466,094",**
ZCTA5 30680,,,,
    Estimate,"195,900","188,200","160,600","174,900"
    Margin of Error,"±36,535","±12,412","±6,164","±7,776"
ZCTA5 30683,,,,
    Estimate,"158,900","157,100","165,000","159,600"
    Margin of Error,"±14,951","±14,485","±37,142","±19,574"
ZCTA5 30701,,,,
    Estimate,"168,800","166,300","140,200","163,600"
    Margin of Error,"±83,585","±19,037","±17,722","±16,007"
ZCTA5 30705,,,,
    Estimate,-,"135,100","128,700","119,800"
    Margin of Error,**,"±11,644","±19,383","±14,543"
ZCTA5 30707,,,,
    Estimate,-,"204,300","103,300","171,300"
    Margin of Error,**,"±158,788","±30,297","±37,228"
ZCTA5 30708,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30710,,,,
    Estimate,-,"141,900","135,700","194,400"
    Margin of Error,**,"±75,252","±13,250","±54,194"
ZCTA5 30711,,,,
    Estimate,-,"109,100",-,"81,700"
    Margin of Error,**,"±70,633",**,"±33,361"
ZCTA5 30720,,,,
    Estimate,"271,100","191,500","149,500","169,700"
    Margin of Error,"±13,941","±53,056","±23,606","±24,039"
ZCTA5 30721,,,,
    Estimate,"183,200","122,600","107,400","129,100"
    Margin of Error,"±60,881","±25,931","±10,056","±12,589"
ZCTA5 30725,,,,
    Estimate,-,-,"126,800","189,100"
    Margin of Error,**,**,"±53,517","±15,557"
ZCTA5 30726,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30728,,,,
    Estimate,-,"112,100","103,300","109,500"
    Margin of Error,**,"±18,989","±43,664","±23,420"
ZCTA5 30730,,,,
    Estimate,-,"74,500",-,"135,900"
    Margin of Error,**,"±1,747",**,"±25,723"
ZCTA5 30731,,,,
    Estimate,-,"157,300","108,000","164,800"
    Margin of Error,**,"±117,304","±31,004","±70,258"
ZCTA5 30733,,,,
    Estimate,-,"101,600","61,400","143,200"
    Margin of Error,**,"±66,326","±29,431","±76,206"
ZCTA5 30734,,,,
    Estimate,-,-,"164,000","138,300"
    Margin of Error,**,**,"±14,563","±112,729"
ZCTA5 30735,,,,
    Estimate,-,-,"163,700","113,300"
    Margin of Error,**,**,"±66,033","±35,111"
ZCTA5 30736,,,,
    Estimate,"200,000","177,900","173,100","180,100"
    Margin of Error,"±37,162","±16,286","±16,975","±12,696"
ZCTA5 30738,,,,
    Estimate,-,"171,300","187,900","145,800"
    Margin of Error,**,"±116,168","±57,125","±109,901"
ZCTA5 30739,,,,
    Estimate,-,"148,800","240,200","131,900"
    Margin of Error,**,"±49,176","±108,620","±15,231"
ZCTA5 30740,,,,
    Estimate,-,-,"124,600","173,400"
    Margin of Error,**,**,"±122,897","±30,826"
ZCTA5 30741,,,,
    Estimate,"128,600","109,500","89,200","108,200"
    Margin of Error,"±57,041","±16,004","±18,672","±10,379"
ZCTA5 30742,,,,
    Estimate,"167,500","131,300","120,300","113,800"
    Margin of Error,"±25,432","±15,870","±30,834","±31,545"
ZCTA5 30746,,,,
    Estimate,-,-,-,"163,800"
    Margin of Error,**,**,**,"±117,803"
ZCTA5 30747,,,,
    Estimate,-,"118,100","49,100","114,800"
    Margin of Error,**,"±59,417","±27,159","±72,061"
ZCTA5 30750,,,,
    Estimate,-,"181,300","365,000","292,100"
    Margin of Error,**,"±144,271","±211,663","±132,849"
ZCTA5 30751,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30752,,,,
    Estimate,-,"103,800","134,700","137,300"
    Margin of Error,**,"±70,521","±27,425","±31,385"
ZCTA5 30753,,,,
    Estimate,-,"57,200","71,500","90,900"
    Margin of Error,**,"±16,780","±29,553","±30,155"
ZCTA5 30755,,,,
    Estimate,"96,500","140,000","120,000","127,600"
    Margin of Error,"±77,652","±27,195","±12,392","±62,262"
ZCTA5 30756,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30757,,,,
    Estimate,-,"70,400",-,"86,000"
    Margin of Error,**,"±63,631",**,"±72,908"
ZCTA5 30802,,,,
    Estimate,-,"327,200","270,800","183,900"
    Margin of Error,**,"±65,303","±156,905","±113,172"
ZCTA5 30803,,,,
    Estimate,-,"31,900","109,100","89,400"
    Margin of Error,**,"±14,010","±7,466","±13,411"
ZCTA5 30805,,,,
    Estimate,-,"98,600",-,"59,000"
    Margin of Error,**,"±40,648",**,"±38,831"
ZCTA5 30807,,,,
    Estimate,-,-,-,"56,700"
    Margin of Error,**,**,**,"±16,955"
ZCTA5 30808,,,,
    Estimate,-,"186,700","83,900","77,800"
    Margin of Error,**,"±89,292","±16,580","±44,705"
ZCTA5 30809,,,,
    Estimate,"249,100","279,000","271,800","258,200"
    Margin of Error,"±40,709","±15,137","±8,529","±11,600"
ZCTA5 30810,,,,
    Estimate,-,"28,100",-,"108,600"
    Margin of Error,**,"±1,368",**,"±31,657"
ZCTA5 30812,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30813,,,,
    Estimate,"248,800","226,700","213,800","175,500"
    Margin of Error,"±113,685","±22,499","±16,044","±15,591"
ZCTA5 30814,,,,
    Estimate,"276,100","201,500","143,100","179,200"
    Margin of Error,"±58,096","±96,412","±26,850","±106,011"
ZCTA5 30815,,,,
    Estimate,"158,300","167,300","137,500","140,600"
    Margin of Error,"±48,773","±36,508","±24,921","±20,992"
ZCTA5 30816,,,,
    Estimate,-,-,-,"168,800"
    Margin of Error,**,**,**,"±96,780"
ZCTA5 30817,,,,
    Estimate,-,"149,200",-,"177,100"
    Margin of Error,**,"±50,428",**,"±43,925"
